Medium,Frequency
etch,39307
engrav,27235
paint,4997
print,4711
carved,3340
glaze,3113
colored,2297
salted,1960
gilded,1583
incised,1447
embroidered,1236
framing,1125
woodcut,1018
pressed,990
decorated,875
tracing,841
lithography,834
molded,549
perforated,530
drawing,523
hammered,516
coloring,501
folding,484
underdrawing,424
enameled,404
gilding,401
brocaded,380
stained,371
lacquered,369
polychromed,357
crackled,344
pasted,323
silvered,289
indurated,261
published,193
mottled,192
burnished,174
veneered,169
tinted,159
ebonized,115
illustrated,114
embossed,110
stumping,99
plated,97
lustered,89
scraping,86
framed,83
punched,81
burnishing,73
patinated,65
patterning,65
couching,60
oxidized,58
modeled,55
blued,54
tinned,53
knott,51